iter	Passed	Remaining
0	0	84
1	1	72
2	2	69
3	2	62
4	3	62
5	3	60
6	4	59
7	4	57
8	5	56
9	6	55
10	6	53
11	7	52
12	7	52
13	8	51
14	9	51
15	9	50
16	10	49
17	10	48
18	11	47
19	11	46
20	12	46
21	13	46
22	13	45
23	14	47
24	15	46
25	16	46
26	16	45
27	17	45
28	18	44
29	18	44
30	19	43
31	20	42
32	20	42
33	21	41
34	22	41
35	22	40
36	23	39
37	23	39
38	24	38
39	24	37
40	25	36
41	25	35
42	26	34
43	26	34
44	27	33
45	27	32
46	28	32
47	29	31
48	29	30
49	30	30
50	30	29
51	31	29
52	32	28
53	32	27
54	33	27
55	33	26
56	34	25
57	34	25
58	35	24
59	36	24
60	37	23
61	37	23
62	38	22
63	38	21
64	39	21
65	40	20
66	40	20
67	41	19
68	41	18
69	42	18
70	43	17
71	43	17
72	44	16
73	44	15
74	45	15
75	46	14
76	46	14
77	47	13
78	48	12
79	48	12
80	49	11
81	50	10
82	50	10
83	51	9
84	52	9
85	52	8
86	53	7
87	53	7
88	54	6
89	54	6
90	55	5
91	56	4
92	57	4
93	57	3
94	58	3
95	59	2
96	60	1
97	60	1
98	61	0
99	62	0
